,Unnamed: 0,Unnamed: 0.1,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
10,10,10, 01/01  11:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
11,11,11, 01/01  12:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
12,12,12, 01/01  13:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
13,13,13, 01/01  14:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
14,14,14, 01/01  15:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
15,15,15, 01/01  16:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
16,16,16, 01/01  17:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
17,17,17, 01/01  18:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
18,18,18, 01/01  19:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
19,19,19, 01/01  20:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
20,20,20, 01/01  21:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.774322831429999,0.00011353315168029065,0.97538271570446,0.08940537472727841,0.0004027961290657008,0.0,0.024617284295540044,0.02042820854460059,0.057600353162048645,0.34560211897229187,0.004189075750876617
