,Total Energy,Electricity,Gas,Cooling,Lights,Equipment,Gas_Heating,Elec_Heating,GWater_Heating,Heating
5129,10016.994025019192,9946.488892913045,70.51723755900825,3774.795226829004,2122.6995306261824,2689.2382150380868,0.0,0.0,70.51723755900825,70.51723755900825
5130,9533.403800259088,9462.51748420158,70.89783709565724,3581.5531586040825,2116.6672696421,2589.253258743196,0.0,0.0,70.89783709565724,70.89783709565724
5131,8711.891620678847,8692.387509969445,19.514638957005424,3371.6930213276937,1260.799895144317,2150.8212818308325,0.0,0.0,19.514638957005424,19.514638957005424
5132,8668.124037272357,8615.749532122687,52.38498050451963,3386.1035200209158,1276.560544409873,2127.6009073484397,0.0,0.0,52.38498050451963,52.38498050451963
5133,8303.841168283263,8272.344049776852,31.50715362848351,0.0,1131.5196838919142,4526.0787355703815,0.0,0.0,31.50715362848351,31.50715362848351
5134,8203.796683313738,8073.894260245169,129.9123372877256,0.0,622.6576606597539,4981.261285277695,0.0,0.0,129.9123372877256,129.9123372877256
5135,4775.441414438121,4753.618564359801,21.828621159023832,0.0,375.7857021848293,3006.2856174784592,0.0,0.0,21.828621159023832,21.828621159023832
5136,4562.689203208515,4561.520447046035,1.1742701339308788,0.0,360.7483706632631,2885.9869653059513,0.0,0.0,1.1742701339308788,1.1742701339308788
5137,4510.003046723411,4437.795425518497,72.2130715055879,0.0,351.3459744048207,2810.767795238454,0.0,0.0,72.2130715055879,72.2130715055879
5138,4510.0695419522835,4489.459332284368,20.615660048947642,0.0,354.9032393274144,2839.22591461915,0.0,0.0,20.615660048947642,20.615660048947642
5139,4510.139066699867,4438.723518544708,71.4209986202122,0.0,342.3137717145297,2738.510173716053,0.0,0.0,71.4209986202122,71.4209986202122
5140,4510.299275040438,4492.7170940286605,17.5876316704418,0.0,639.2591747866255,2557.036699148019,0.0,0.0,17.5876316704418,17.5876316704418
5141,4563.109363485616,4524.911773719082,38.20310424574389,2314.22752734962,291.1617130077489,1164.6468520315339,0.0,0.5012815179100963,38.20310424574389,38.70438576365398
5142,4739.237376087441,4722.360446231791,16.882657184079363,1992.139743406174,750.4212658275743,1263.1315999304472,0.0,1.3903859905135116,16.882657184079363,18.273043174592875
5143,7478.172098728963,7407.785154876358,70.39598116056261,2010.0310739577142,2102.292625671668,2520.6252636309823,0.0,0.0,70.39598116056261,70.39598116056261
5144,7946.112167915209,7891.408199742524,54.713570982276174,2245.1630411100446,2302.6885871529776,2589.0476366769294,0.0,0.0,54.713570982276174,54.713570982276174
5145,10227.040861846872,10127.051192342156,100.0020287974101,2986.2196781882826,3002.907482922856,3316.3497598409,0.0,0.0,100.0020287974101,100.0020287974101
