,Unnamed: 0,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
20,20, 01/01  21:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
21,21, 01/01  22:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
22,22, 01/01  23:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
23,23, 01/01  24:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
24,24, 01/02  01:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
25,25, 01/02  02:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
26,26, 01/02  03:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
27,27, 01/02  04:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
28,28, 01/02  05:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
29,29, 01/02  06:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
