Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/02  21:00:00,3.42147453709,9.05978940793,0.0,9.00292888536,0.0,0.249160654218,0.249160654218,0.249160654218,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.645239380598
 01/02  22:00:00,3.09429232227,9.27919454442,0.0,9.22366150486,0.0,0.255270553146,0.255270553146,0.255270553146,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.567067860941
 01/02  23:00:00,2.53630719851,9.82407225745,0.0,9.7760155285,0.0,0.270553926154,0.270553926154,0.270553926154,0.691470175382,0.156299961941,0.256145886137,0.696596794044,0.442470454849
 01/02  24:00:00,1.96638293914,9.97654892121,0.0,9.93478851795,0.0,0.274934949511,0.274934949511,0.274934949511,0.474740745326,0.107310419037,0.173494335907,0.605329652219,0.307802837133
 01/03  01:00:00,1.39004786871,10.245373443,0.0,10.2108312287,0.0,0.282546574852,0.282546574852,0.282546574852,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165184746855
 01/03  02:00:00,1.13260489918,9.90422315257,0.0,9.87241887195,0.0,0.273099953584,0.273099953584,0.273099953584,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100205490105
 01/03  03:00:00,1.04648961261,9.99341063583,0.0,9.96197510049,0.0,0.275546881645,0.275546881645,0.275546881645,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0825221560358
 01/03  04:00:00,1.03700783185,10.0098728967,0.0,9.97887985569,0.0,0.275991279849,0.275991279849,0.275991279849,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0877075759246
 01/03  05:00:00,1.0779003762,9.78387730029,0.0,9.75405502556,0.0,0.269740723357,0.269740723357,0.269740723357,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139728166141
 01/03  06:00:00,1.36739383165,9.67281766942,0.0,9.63953840767,0.0,0.266538932871,0.266538932871,0.266538932871,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.367343180806
 01/03  07:00:00,2.10337715639,9.98265474006,0.0,9.94420382572,0.0,0.274934819884,0.274934819884,0.274934819884,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.792211361043
 01/03  08:00:00,2.63916628892,8.22959089601,0.0,8.1887339187,0.0,0.226387576382,0.226387576382,0.226387576382,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.909171897749
 01/03  09:00:00,2.53464424518,8.53939427808,0.0,8.50485206374,0.0,0.235098772787,0.235098772787,0.235098772787,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.87847083953
 01/03  10:00:00,2.16234779331,8.62048426569,0.0,8.59108604803,0.0,0.237444267283,0.237444267283,0.237444267283,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.784990655966
 01/03  11:00:00,2.02252576279,8.42743931516,0.0,8.3973497001,0.0,0.232044741046,0.232044741046,0.232044741046,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.67435986511
 01/03  12:00:00,1.94087002158,8.3600119717,0.0,8.32991313801,0.0,0.230153996096,0.230153996096,0.230153996096,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.575506775783
 01/03  13:00:00,1.84696252259,8.38269266246,0.0,8.35310085353,0.0,0.230777476317,0.230777476317,0.230777476317,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.498423394301
 01/03  14:00:00,1.74696684696,7.31880590091,0.0,7.28819082383,0.0,0.201328234761,0.201328234761,0.201328234761,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.452715201823
 01/03  15:00:00,1.70867864655,7.28805474179,0.0,7.25571578051,0.0,0.20040873795,0.20040873795,0.20040873795,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.407315566238
 01/03  16:00:00,1.81812774716,7.368313819,0.0,7.33417722447,0.0,0.202552859832,0.202552859832,0.202552859832,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.413161640848
 01/03  17:00:00,2.24791724526,7.70777718071,0.0,7.66739957227,0.0,0.211732370714,0.211732370714,0.211732370714,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.468020437663
 01/03  18:00:00,3.06671551423,8.15500340943,0.0,8.10595106822,0.0,0.223837257381,0.223837257381,0.223837257381,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.585301553805
 01/03  19:00:00,3.66771014095,7.25703013558,0.0,7.20377409814,0.0,0.198928204461,0.198928204461,0.198928204461,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.69353582978
 01/03  20:00:00,3.66970921294,7.19739863981,0.0,7.14242793681,0.0,0.197233256548,0.197233256548,0.197233256548,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.711110727698
 01/03  21:00:00,3.38310097635,7.63436639735,0.0,7.57750587477,0.0,0.209242314851,0.209242314851,0.209242314851,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.646784159228
 01/03  22:00:00,3.06507887209,8.19191276944,0.0,8.13637972988,0.0,0.224667727779,0.224667727779,0.224667727779,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.568457236131
 01/03  23:00:00,2.49899500234,8.45536180149,0.0,8.40730507254,0.0,0.232141102132,0.232141102132,0.232141102132,0.691470175382,0.156299961941,0.256145886137,0.696596794044,0.443571082707
 01/03  24:00:00,1.93307532236,8.76312408157,0.0,8.72136367832,0.0,0.240808237397,0.240808237397,0.240808237397,0.474740745326,0.107310419037,0.173494335907,0.605329652219,0.308621932475
 01/04  01:00:00,1.3732632504,9.64177952216,0.0,9.60723730781,0.0,0.265251730252,0.265251730252,0.265251730252,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165694973141
 01/04  02:00:00,1.12318132558,9.57266775446,0.0,9.54086347383,0.0,0.263397303145,0.263397303145,0.263397303145,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.10048456694
 01/04  03:00:00,1.06393348407,10.6354268509,0.0,10.6039913155,0.0,0.292735352113,0.292735352113,0.292735352113,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0827775570192
 01/04  04:00:00,1.07550930626,11.4174254077,0.0,11.3864323667,0.0,0.314347297593,0.314347297593,0.314347297593,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0878530325946
 01/04  05:00:00,1.13556664509,11.8810952963,0.0,11.8512730216,0.0,0.327226542214,0.327226542214,0.327226542214,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139908616172
 01/04  06:00:00,1.46279865515,13.1205032746,0.0,13.0872240129,0.0,0.361394270447,0.361394270447,0.361394270447,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.367892666728
 01/04  07:00:00,2.1878218258,13.0021970401,0.0,12.9637461258,0.0,0.358050119739,0.358050119739,0.358050119739,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.793540730598
 01/04  08:00:00,2.76070245353,12.5810489951,0.0,12.5401920178,0.0,0.346407127889,0.346407127889,0.346407127889,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.910688510853
 01/04  09:00:00,2.63567143394,12.1498723291,0.0,12.1153301147,0.0,0.334714745047,0.334714745047,0.334714745047,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.879882056032
 01/04  10:00:00,2.22263193343,10.7579156415,0.0,10.7285174238,0.0,0.296410539897,0.296410539897,0.296410539897,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.78630852347
 01/04  11:00:00,2.10384971685,11.3342684957,0.0,11.3041788807,0.0,0.312324138597,0.312324138597,0.312324138597,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.675404421619
 01/04  12:00:00,1.99463935441,10.2743889878,0.0,10.2442901541,0.0,0.283057699178,0.283057699178,0.283057699178,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.576372405531
 01/04  13:00:00,1.8851382158,9.73727855091,0.0,9.70768674199,0.0,0.268239211614,0.268239211614,0.268239211614,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.499137352211
 01/04  14:00:00,1.80509644346,9.39870799909,0.0,9.36809292201,0.0,0.258863558992,0.258863558992,0.258863558992,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.453309474095
 01/04  15:00:00,1.76280359631,9.2272775641,0.0,9.19493860282,0.0,0.254086874422,0.254086874422,0.254086874422,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.407762379531
 01/04  16:00:00,1.89137143587,9.99844159855,0.0,9.96430500402,0.0,0.275376753946,0.275376753946,0.275376753946,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.413581435449
 01/04  17:00:00,2.30710479597,9.82355965331,0.0,9.78318204487,0.0,0.270411310837,0.270411310837,0.270411310837,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.468529048247
 01/04  18:00:00,3.15840250566,11.4367486117,0.0,11.3876962705,0.0,0.314829070784,0.314829070784,0.314829070784,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.585996731832
 01/04  19:00:00,3.76630818377,10.7779940946,0.0,10.7247380571,0.0,0.296561660766,0.296561660766,0.296561660766,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.694500416298
 01/04  20:00:00,3.79853580697,11.8118514824,0.0,11.7568807794,0.0,0.325160764656,0.325160764656,0.325160764656,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.71200981362
 01/04  21:00:00,3.51634972183,12.4102885688,0.0,12.3534280462,0.0,0.341713867753,0.341713867753,0.341713867753,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.647561351807
 01/04  22:00:00,3.1881709882,12.6041358809,0.0,12.5486028413,0.0,0.347150701646,0.347150701646,0.347150701646,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.569066378374
 01/04  23:00:00,2.62095064442,12.8313658788,0.0,12.7833091499,0.0,0.353682820689,0.353682820689,0.353682820689,0.691470175382,0.156299961941,0.256145886137,0.696596794044,0.443985006226
 01/04  24:00:00,2.06426037065,13.4803266063,0.0,13.438566203,0.0,0.371830065457,0.371830065457,0.371830065457,0.474740745326,0.107310419037,0.173494335907,0.605329652219,0.308785152702
 01/05  01:00:00,1.51890098278,14.8899048323,0.0,14.8553626179,0.0,0.411045192119,0.411045192119,0.411045192119,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165539243659
 01/05  02:00:00,1.27798641871,15.1574169952,0.0,15.1256127146,0.0,0.418552584151,0.418552584151,0.418552584151,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100134379066
 01/05  03:00:00,1.18486613127,14.9934716961,0.0,14.9620361608,0.0,0.414061726479,0.414061726479,0.414061726479,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0823838298573
 01/05  04:00:00,1.17865478114,15.128085285,0.0,15.097092244,0.0,0.417795311122,0.417795311122,0.417795311122,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0875504939429
 01/05  05:00:00,1.22741959859,15.1788297839,0.0,15.1490075092,0.0,0.419241066628,0.419241066628,0.419241066628,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139747045258
 01/05  06:00:00,1.52160421815,15.2047107996,0.0,15.1714315379,0.0,0.419865826114,0.419865826114,0.419865826114,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.368226674063
 01/05  07:00:00,2.24715128952,15.0767030651,0.0,15.0382521507,0.0,0.416199239761,0.416199239761,0.416199239761,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.794721074291
 01/05  08:00:00,2.86921332042,16.4251771422,0.0,16.3843201649,0.0,0.453469786017,0.453469786017,0.453469786017,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.912136719619
 01/05  09:00:00,2.71462245926,14.9297618179,0.0,14.8952196036,0.0,0.412330697912,0.412330697912,0.412330697912,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.88121712848
 01/05  10:00:00,2.32474141003,14.3839414653,0.0,14.3545432476,0.0,0.397381369909,0.397381369909,0.397381369909,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.787447170061
 01/05  11:00:00,2.19416893485,14.5407135397,0.0,14.5106239246,0.0,0.40171119555,0.40171119555,0.40171119555,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.676336582664
 01/05  12:00:00,2.0499751678,12.2247408641,0.0,12.1946420304,0.0,0.337594303925,0.337594303925,0.337594303925,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.57717161417
 01/05  13:00:00,1.94426685403,11.8313616724,0.0,11.8017698635,0.0,0.326716024995,0.326716024995,0.326716024995,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.499789177061
 01/05  14:00:00,1.84334821118,10.7422377997,0.0,10.7116227226,0.0,0.296541958589,0.296541958589,0.296541958589,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.453882842219
 01/05  15:00:00,1.80875022761,10.8526706631,0.0,10.8203317018,0.0,0.299553208524,0.299553208524,0.299553208524,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.408242676727
 01/05  16:00:00,1.90273930212,10.3727504912,0.0,10.3386138967,0.0,0.286233042005,0.286233042005,0.286233042005,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.414093013635
 01/05  17:00:00,2.34087033451,11.0040172404,0.0,10.9636396319,0.0,0.303563210925,0.303563210925,0.303563210925,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.4691426867
 01/05  18:00:00,3.18784535995,12.4498572635,0.0,12.4008049223,0.0,0.343429178349,0.343429178349,0.343429178349,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.586839478564
 01/05  19:00:00,3.78500628672,11.3980306501,0.0,11.3447746127,0.0,0.314222091212,0.314222091212,0.314222091212,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.695538088802
 01/05  20:00:00,3.81575961391,12.3747742924,0.0,12.3198035894,0.0,0.341256801908,0.341256801908,0.341256801908,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.713137583313
